"Player","Team","Positions","PTS","REB","AST","BLK","STL","FG%","FT%","3PM","TO","GP","MIN","FTM","2PM","A/TO","PF"
"Gabe York","IND","G","24","6","5","0","2",".381","1.000","6","0","3","56","2","2","0.00","5"
"Ryan Rollins","WAS","SG OUT","23","12","6","1","1",".350","1.000","3","16","12","62","6","4","0.38","10"
"PJ Dozier","SAC","PG,SG,SF","22","14","10","1","6",".303",".000","2","5","16","79","0","8","2.00","7"
"Jarrell Brantley","FA","PF FA","22","6","3","2","0",".571","1.000","4","2","4","39","2","4","1.50","3"
"Tyrese Martin","ATL","G","21","12","2","0","1",".391","1.000","1","2","16","66","2","8","1.00","2"
"Jack White","DEN","F","21","17","4","2","3",".421",".667","3","2","17","66","2","5","2.00","9"
"Trevelin Queen","FA","G FA","21","17","6","5","2",".241","1.000","2","7","7","70","5","5","0.86","4"
"Ron Harper Jr.","TOR","F","20","7","4","1","0",".500","1.000","3","0","9","48","1","5","0.00","3"
"Louis King","PHI","PF,SF","20","4","2","0","1",".615",".000","4","2","1","29","0","4","1.00","4"
"Carlik Jones","CHI","PG","20","5","6","0","2",".400",".625","3","2","7","56","5","3","3.00","2"
"Justin Jackson","FA","SF,PF FA","20","17","9","4","4",".259",".500","5","2","23","107","1","2","4.50","7"
"JD Davison","BOS","PG","19","9","11","2","2",".421",".500","2","4","12","66","1","6","2.75","5"
